source,target,value,level
Raster graphics,Octree,1,2
Computer graphics,Tree traversal,1,2
Raster graphics,Computer graphics,1,2
Raster graphics,Grid,1,2
Sentiment analysis,Semantic similarity,1,2
Raster graphics,Quadtree,1,2
Rotation (mathematics),Point (geometry),1,2
Computer graphics,Rotation (mathematics),1,2
Visualization,Missing data,1,2
Grid,Tree traversal,1,2
Analytics,Semantic similarity,1,2
Augmented reality,Virtual world,1,2
Immersion (mathematics),Virtual world,1,2
Quality (philosophy),Pollution,1,2
Visualization,Virtual world,1,2
Quality (philosophy),Hydrology (agriculture),1,2
Solid modeling,Virtual world,1,2
Solid modeling,Augmented reality,1,2
Turbidity,Pollution,1,2
Turbidity,Hydrology (agriculture),1,2
Pollution,Hydrology (agriculture),1,2
Octree,Tree traversal,1,2
Immersion (mathematics),Solid modeling,1,2
Software,Layer (electronics),1,2
Visualization,Layer (electronics),1,2
Dynamics (music),Layer (electronics),1,2
Dynamics (music),Software,1,2
Volume (thermodynamics),Flow (mathematics),1,2
Octree,Data structure,1,2
Architecture,Decision support system,1,2
Ozone,Stratosphere,1,2
Visualization,Transient (computer programming),1,2
Software,Finite element method,1,2
Learning analytics,Online learning,1,2
Volume (thermodynamics),Polyhedron,1,2
Visualization,Educational data mining,1,2
Visualization,Dropout (neural networks),1,2
Volume (thermodynamics),Surface (topology),1,2
Visualization,Online learning,1,2
Curvilinear coordinates,Visualization,1,2
Educational data mining,Dropout (neural networks),1,2
Rendering (computer graphics),Curvilinear coordinates,1,2
Volume (thermodynamics),Curvilinear coordinates,1,2
Computer graphics,Volume (thermodynamics),1,2
Animation,Volume (thermodynamics),1,2
Educational data mining,Online learning,1,2
Space (punctuation),Volume (thermodynamics),1,2
Dropout (neural networks),Online learning,1,2
Matching (statistics),Series (stratigraphy),1,2
Visualization,Filter (signal processing),1,2
Volume (thermodynamics),Computational geometry,1,2
Volume (thermodynamics),Intersection (aeronautics),1,2
Surface (topology),Voxel,1,2
Segmentation,Pipeline (software),1,2
Polymer,Pipeline transport,1,2
Polymer,Pipeline (software),1,2
Solid modeling,Polyhedron,1,2
Rendering (computer graphics),Intersection (aeronautics),1,2
Rendering (computer graphics),Computational geometry,1,2
Segmentation,Pipeline transport,1,2
Rendering (computer graphics),Polyhedron,1,2
Voxel,Intersection (aeronautics),1,2
Learning analytics,Dropout (neural networks),1,2
Voxel,Computational geometry,1,2
Deep learning,Educational data mining,1,2
Voxel,Polyhedron,1,2
Surface (topology),Intersection (aeronautics),1,2
Deep learning,Dropout (neural networks),1,2
Deep learning,Online learning,1,2
Learning analytics,Educational data mining,1,2
Volume (thermodynamics),Filter (signal processing),1,2
Flow measurement,Turbulence,1,2
Matching (statistics),Search engine indexing,1,2
Knowledge base,Analytics,1,2
Search engine indexing,Pattern matching,1,2
Speedup,Massively parallel,1,2
Pattern matching,Sketch,1,2
Search engine indexing,Semantics (computer science),1,2
Semantics (computer science),Sketch,1,2
Sensemaking,Crowdsourcing,1,2
Speedup,Pipeline (software),1,2
Computation,Massively parallel,1,2
Parallel algorithm,Massively parallel,1,2
Scalar field,Field (mathematics),1,2
Scalar (mathematics),Field (mathematics),1,2
Shared memory,Rendering (computer graphics),1,2
Volume (thermodynamics),Shared memory,1,2
Segmentation,Atlas (anatomy),1,2
Visualization,Atlas (anatomy),1,2
Voxel,Atlas (anatomy),1,2
Parallel algorithm,Pipeline (software),1,2
Tracking (education),Dual (grammatical number),1,2
Particle (ecology),Turbulence,1,2
Series (stratigraphy),Pattern matching,1,2
Particle (ecology),Computational fluid dynamics,1,2
Particle (ecology),Flow (mathematics),1,2
Particle (ecology),Flow measurement,1,2
Particle (ecology),Visualization,1,2
Matching (statistics),Pattern matching,1,2
Matching (statistics),Sketch,1,2
Series (stratigraphy),Search engine indexing,1,2
Series (stratigraphy),Sketch,1,2
Tracking (education),Kalman filter,1,2
Pattern recognition (psychology),Search engine indexing,1,2
Pattern recognition (psychology),Pattern matching,1,2
Pattern recognition (psychology),Sketch,1,2
Wavelet,Rendering (computer graphics),1,2
Scalar (mathematics),Voxel,1,2
Animation,Computational fluid dynamics,1,2
Dual (grammatical number),Kalman filter,1,2
Polymer,Segmentation,1,2
Solid modeling,Intersection (aeronautics),1,2
Polyhedron,Intersection (aeronautics),1,2
Supersonic speed,Aerospace,1,2
Visualization,Aerospace,1,2
Mach number,Fluid dynamics,1,2
Mach number,Aerospace,1,2
Supersonic speed,Hypersonic speed,1,2
Supersonic speed,Computational fluid dynamics,1,2
Supersonic speed,Flow (mathematics),1,2
Supersonic speed,Fluid dynamics,1,2
Supersonic speed,Visualization,1,2
Porosity,Polymer,1,2
Supersonic speed,Mach number,1,2
Aerodynamics,Fluid dynamics,1,2
Aerodynamics,Aerospace,1,2
Porosity,Convolutional neural network,1,2
Aerodynamics,Supersonic speed,1,2
Visualization,Acoustic wave,1,2
Lens (geology),Acoustic wave,1,2
Aerospace,Fluid dynamics,1,2
Perception,Social media,1,2
Porosity,Pipeline transport,1,2
Sequence (biology),Analytics,1,2
Animation,Finite element method,1,2
Animation,Software,1,2
Animation,Solid modeling,1,2
Architecture,Urban planning,1,2
Polygon mesh,Software,1,2
Decision support system,Urban planning,1,2
Visualization,"Id, ego and super-ego",1,2
Fluid dynamics,Hypersonic speed,1,2
Recommender system,Event (particle physics),1,2
Aerospace,Hypersonic speed,1,2
Aerospace,Computational fluid dynamics,1,2
Aerospace,Flow (mathematics),1,2
Sequence (biology),Social media,1,2
Sequence (biology),Recommender system,1,2
Analytics,Recommender system,1,2
Social media,Recommender system,1,2
Porosity,Segmentation,1,2
Shading,Workstation,1,2
Computational geometry,Intersection (aeronautics),1,2
Stream processing,Visualization,1,2
MIMD,Massively parallel,1,2
MIMD,Supercomputer,1,2
MIMD,Modular design,1,2
Granularity,Data structure,1,2
Visualization,Granularity,1,2
Stream processing,Data structure,1,2
Stream processing,Granularity,1,2
Dataflow,Data structure,1,2
Modular design,Massively parallel,1,2
Dataflow,Granularity,1,2
Dataflow,Stream processing,1,2
Computation,Rendering (computer graphics),1,2
Data management,Bridging (networking),1,2
Data management,Visualization,1,2
Polymer,Convolutional neural network,1,2
Database design,Software,1,2
Modular design,Supercomputer,1,2
Query language,Relational database,1,2
Porosity,Pipeline (software),1,2
Orientation (vector space),Pattern recognition (psychology),1,2
Graphics,Shading,1,2
Volume (thermodynamics),Workstation,1,2
Tracing,Convection,1,2
Cloud computing,Convection,1,2
Cloud computing,Tracing,1,2
Diffusion,Convection,1,2
Diffusion,Cloud computing,1,2
Colored,Primary color,1,2
Relational database,Query optimization,1,2
Orientation (vector space),Rotation (mathematics),1,2
Parallel processing,Asynchronous communication,1,2
Distributed algorithm,Asynchronous communication,1,2
Distributed algorithm,Parallel processing,1,2
Parallel algorithm,Asynchronous communication,1,2
Parallel algorithm,Parallel processing,1,2
Parallel algorithm,Distributed algorithm,1,2
Microscopy,Laser,1,2
Diagram,Generative grammar,1,2
Laser,Confocal,1,2
Stress (linguistics),Visualization,1,2
Fiber,Magnetic resonance imaging,1,2
Series (stratigraphy),Holography,1,2
Scale (ratio),Quality (philosophy),1,2
Geographic information system,Visualization,1,2
Visualization,Surface wave,1,2
Visualization,Nondestructive testing,1,2
Volume (thermodynamics),Nondestructive testing,1,2
The Internet,Routing (electronic design automation),1,2
Curvature,Rendering (computer graphics),1,2
Volume (thermodynamics),Curvature,1,2
Dimensionality reduction,Support vector machine,1,2
Volume (thermodynamics),Support vector machine,1,2
Volume (thermodynamics),Dimensionality reduction,1,2
Gaussian,Field (mathematics),1,2
Visualization,Gaussian,1,2
Volume (thermodynamics),Gaussian,1,2
Ultrasound,Rendering (computer graphics),1,2
Ultrasound,Iterative reconstruction,1,2
Opacity,Iterative reconstruction,1,2
Tensor (intrinsic definition),Iterative reconstruction,1,2
Tensor (intrinsic definition),Magnetic resonance imaging,1,2
Iterative reconstruction,Magnetic resonance imaging,1,2
Segmentation,Focus (optics),1,2
Tracking (education),Singularity,1,2
Tracking (education),Gravitational singularity,1,2
Tracking (education),Vector field,1,2
Trajectory,Singularity,1,2
Trajectory,Gravitational singularity,1,2
Trajectory,Vector field,1,2
Trajectory,Tracking (education),1,2
Topology (electrical circuits),Nano-,1,2
Context (archaeology),Segmentation,1,2
Polygon mesh,Clipping (morphology),1,2
Angiography,Focus (optics),1,2
Angiography,Context (archaeology),1,2
Visualization,Component (thermodynamics),1,2
Tetrahedron,Virtual reality,1,2
Clipping (morphology),Virtual reality,1,2
Clipping (morphology),Computer graphics,1,2
Clipping (morphology),Visualization,1,2
Clipping (morphology),Tetrahedron,1,2
Opacity,Ultrasound,1,2
Orientation (vector space),Medial axis,1,2
Computer graphics,Monte Carlo method,1,2
Graphics processing unit,Segmentation,1,2
Topology (electrical circuits),Skeleton (computer programming),1,2
Pattern recognition (psychology),Kernel (algebra),1,2
Space (punctuation),Grid,1,2
Space (punctuation),Polygon mesh,1,2
Software,Segmentation,1,2
Computer graphics,Segmentation,1,2
CUDA,Segmentation,1,2
Graphics,Segmentation,1,2
Polygon mesh,Planet,1,2
Voxel,Firefighting,1,2
Flow (mathematics),Image (mathematics),1,2
Vector field,Spacetime,1,2
Quadric,Smoothing,1,2
Point cloud,Quadric,1,2
Surface (topology),Quadric,1,2
Piecewise,Smoothing,1,2
Piecewise,Quadric,1,2
Piecewise,Point cloud,1,2
Skeleton (computer programming),Invariant (physics),1,2
Lossy compression,Rendering (computer graphics),1,2
Volume (thermodynamics),Monte Carlo method,1,2
Opacity,Visibility,1,2
Hierarchy,Point (geometry),1,2
Visualization,Spline (mechanical),1,2
Quadratic equation,Spline (mechanical),1,2
Quadratic equation,Visualization,1,2
Scalar (mathematics),Regularization (linguistics),1,2
Smart lighting,Rendering (computer graphics),1,2
Visualization,Smart lighting,1,2
Point cloud,Shading,1,2
Visualization,Opacity,1,2
Segmentation,Filter (signal processing),1,2
Rendering (computer graphics),Visibility,1,2
Rendering (computer graphics),Opacity,1,2
Volume (thermodynamics),Opacity,1,2
Finite element method,Tetrahedron,1,2
Scalar (mathematics),Cluster analysis,1,2
Field-programmable gate array,Filter (signal processing),1,2
Pattern recognition (psychology),Filter (signal processing),1,2
Pattern recognition (psychology),Field-programmable gate array,1,2
Visibility,Rendering (computer graphics),1,2
Stress (linguistics),Salt (chemistry),1,2
Field-programmable gate array,Computer graphics,1,2
Visualization,Salt (chemistry),1,2
Visualization,Illusion,1,2
Animation,Illusion,1,2
Animation,Perception,1,2
Resampling,Pattern recognition (psychology),1,2
Wearable computer,Virtual reality,1,2
Augmented reality,Wearable computer,1,2
Solid modeling,Volume (thermodynamics),1,2
Lattice (music),Cubic form,1,2
Space (punctuation),Coherence (philosophical gambling strategy),1,2
"Streamlines, streaklines, and pathlines",Flow measurement,1,2
Visualization,Cartilage,1,2
Line (geometry),Rendering (computer graphics),1,2
Volume (thermodynamics),Scalar field,1,2
Volume (thermodynamics),Scalar (mathematics),1,2
Image resolution,Texture mapping,1,2
Segmentation,Texture mapping,1,2
Image (mathematics),Texture mapping,1,2
Image (mathematics),Image resolution,1,2
Image (mathematics),Segmentation,1,2
Perception,Illusion,1,2
Perception,Motion (physics),1,2
Illusion,Motion (physics),1,2
Quadratic equation,Rendering (computer graphics),1,2
Stress (linguistics),Field (mathematics),1,2
Stress (linguistics),Cauchy stress tensor,1,2
Stress (linguistics),Tensor (intrinsic definition),1,2
Tensor (intrinsic definition),Tensor product,1,2
Topology (electrical circuits),Path (computing),1,2
Line (geometry),Path (computing),1,2
Line (geometry),Topology (electrical circuits),1,2
Level set (data structures),Rough set,1,2
Planar,Rendering (computer graphics),1,2
Surface (topology),Conformal map,1,2
Planar,Quadratic equation,1,2
Software,Motion (physics),1,2
Graphics,Motion (physics),1,2
Smoothing,Grid,1,2
Point cloud,Grid,1,2
Polygon mesh,Smoothing,1,2
Visualization,Tetrahedron,1,2
Visualization,Peptide,1,2
Resolution (logic),Texture mapping,1,2
Resolution (logic),Image (mathematics),1,2
Resolution (logic),Pixel,1,2
Turbine,Water turbine,1,2
Voronoi diagram,Segmentation,1,2
Voronoi diagram,Tessellation (computer graphics),1,2
Cluster analysis,Delaunay triangulation,1,2
Cluster analysis,Point cloud,1,2
Cluster analysis,Computational geometry,1,2
Cluster analysis,Tessellation (computer graphics),1,2
Cluster analysis,Voronoi diagram,1,2
Flow (mathematics),Water turbine,1,2
Computational fluid dynamics,Water turbine,1,2
Visualization,Tessellation (computer graphics),1,2
Computational fluid dynamics,Turbine,1,2
Visualization,Water turbine,1,2
Vortex,Water turbine,1,2
Vortex,Turbine,1,2
Virtual reality,Multi-user,1,2
User experience design,Multi-user,1,2
Virtual machine,Multi-user,1,2
Virtual machine,User experience design,1,2
Voronoi diagram,Point cloud,1,2
Visualization,Computational geometry,1,2
Plume,Hydrothermal circulation,1,2
Graph,Delaunay triangulation,1,2
Neuroimaging,Cognition,1,2
Topology (electrical circuits),Contouring,1,2
Visualization,Dispersion (optics),1,2
Data-driven,Molecular dynamics,1,2
Visualization,Molecular dynamics,1,2
Inverse problem,Rendering (computer graphics),1,2
Inverse,Rendering (computer graphics),1,2
Inverse,Inverse problem,1,2
Graph,Computational geometry,1,2
Tessellation (computer graphics),Computational geometry,1,2
Graph,Voronoi diagram,1,2
Graph,Triangulation,1,2
Point cloud,Delaunay triangulation,1,2
Segmentation,Delaunay triangulation,1,2
Computational geometry,Segmentation,1,2
Tessellation (computer graphics),Delaunay triangulation,1,2
Tessellation (computer graphics),Point cloud,1,2
Tessellation (computer graphics),Segmentation,1,2
Field-programmable gate array,Graphics,1,2
Simple (philosophy),Volume (thermodynamics),1,2
Aerodynamics,Turbomachinery,1,2
Extraction (chemistry),Pattern recognition (psychology),1,2
Planet,Visualization,1,2
Planet,Space (punctuation),1,2
Dissection (medical),Virtual reality,1,2
Visualization,Dissection (medical),1,2
Temporal bone,Virtual reality,1,2
Temporal bone,Dissection (medical),1,2
Temporal bone,Visualization,1,2
Cultural heritage,Virtual reality,1,2
Temple,Virtual reality,1,2
Temple,Visualization,1,2
Temple,Cultural heritage,1,2
Peripheral,Tomography,1,2
Angiography,Peripheral,1,2
Space (punctuation),Iterative reconstruction,1,2
Space (punctuation),Medical imaging,1,2
Pattern recognition (psychology),Human brain,1,2
Electroencephalography,Human brain,1,2
Electroencephalography,Pattern recognition (psychology),1,2
Cortex (anatomy),Human brain,1,2
Planet,Mars Exploration Program,1,2
Planet,Space exploration,1,2
Space (punctuation),Mars Exploration Program,1,2
Surface (topology),Ultrasound,1,2
Ultrasound,Point cloud,1,2
Ultrasound,Segmentation,1,2
Ultrasound,Pattern recognition (psychology),1,2
Ultrasound,Extraction (chemistry),1,2
Ultrasound,Feature extraction,1,2
Surface (topology),Segmentation,1,2
Surface (topology),Extraction (chemistry),1,2
Surface (topology),Feature extraction,1,2
Visualization,Plane (geometry),1,2
Space (punctuation),Space exploration,1,2
Voronoi diagram,Plane (geometry),1,2
Rendering (computer graphics),Plane (geometry),1,2
Rendering (computer graphics),Voronoi diagram,1,2
Voxel,Plane (geometry),1,2
Voxel,Voronoi diagram,1,2
Immersion (mathematics),Task (project management),1,2
Mars Exploration Program,Space exploration,1,2
Visualization,Space exploration,1,2
Cortex (anatomy),Pattern recognition (psychology),1,2
Cortex (anatomy),Electroencephalography,1,2
Track (disk drive),Particle (ecology),1,2
Documentation,Web application,1,2
Medical diagnosis,Medical record,1,2
Web application,Medical record,1,2
Web application,Medical diagnosis,1,2
